time,open,high,low,close
2009-01-03T00:00:00Z,50,50,50,50
2009-01-04T00:00:00Z,50,50,50,50
2009-01-05T00:00:00Z,50,50,50,50
2009-01-06T00:00:00Z,50,50,50,50
2009-01-07T00:00:00Z,50,50,50,50
2009-01-08T00:00:00Z,50,50,50,50
2009-01-09T00:00:00Z,750,750,750,750
2009-01-10T00:00:00Z,3800,3800,3800,3800
2009-01-11T00:00:00Z,8450,8450,8450,8450
2009-01-12T00:00:00Z,13150,13150,13150,13150
2009-01-13T00:00:00Z,19300,19300,19300,19300
2009-01-14T00:00:00Z,25750,25750,25750,25750
2009-01-15T00:00:00Z,32050,32050,32050,32050
2009-01-16T00:00:00Z,37450,37450,37450,37450
2009-01-17T00:00:00Z,42900,42900,42900,42900
2009-01-18T00:00:00Z,48250,48250,48250,48250
2009-01-19T00:00:00Z,54000,54000,54000,54000
2009-01-20T00:00:00Z,59700,59700,59700,59700
2009-01-21T00:00:00Z,64800,64800,64800,64800
2009-01-22T00:00:00Z,69350,69350,69350,69350
2009-01-23T00:00:00Z,73550,73550,73550,73550
2009-01-24T00:00:00Z,83600,83600,83600,83600
2009-01-25T00:00:00Z,93150,93150,93150,93150
2009-01-26T00:00:00Z,97950,97950,97950,97950
2009-01-27T00:00:00Z,102800,102800,102800,102800
2009-01-28T00:00:00Z,108400,108400,108400,108400
2009-01-29T00:00:00Z,114450,114450,114450,114450
2009-01-30T00:00:00Z,120300,120300,120300,120300
2009-01-31T00:00:00Z,127200,127200,127200,127200
2009-02-01T00:00:00Z,132850,132850,132850,132850
2009-02-02T00:00:00Z,139250,139250,139250,139250
2009-02-03T00:00:00Z,146200,146200,146200,146200
2009-02-04T00:00:00Z,152150,152150,152150,152150
2009-02-05T00:00:00Z,158450,158450,158450,158450
2009-02-06T00:00:00Z,164550,164550,164550,164550
2009-02-07T00:00:00Z,171000,171000,171000,171000
2009-02-08T00:00:00Z,177600,177600,177600,177600
2009-02-09T00:00:00Z,184300,184300,184300,184300
2009-02-10T00:00:00Z,190300,190300,190300,190300
2009-02-11T00:00:00Z,196950,196950,196950,196950
2009-02-12T00:00:00Z,202900,202900,202900,202900
2009-02-13T00:00:00Z,209100,209100,209100,209100
2009-02-14T00:00:00Z,215900,215900,215900,215900
2009-02-15T00:00:00Z,222300,222300,222300,222300
2009-02-16T00:00:00Z,228400,228400,228400,228400
2009-02-17T00:00:00Z,234250,234250,234250,234250
2009-02-18T00:00:00Z,240150,240150,240150,240150
2009-02-19T00:00:00Z,246350,246350,246350,246350
2009-02-20T00:00:00Z,252450,252450,252450,252450
2009-02-21T00:00:00Z,258150,258150,258150,258150
2009-02-22T00:00:00Z,264200,264200,264200,264200
2009-02-23T00:00:00Z,269600,269600,269600,269600
2009-02-24T00:00:00Z,274900,274900,274900,274900
2009-02-25T00:00:00Z,280150,280150,280150,280150
2009-02-26T00:00:00Z,285500,285500,285500,285500
2009-02-27T00:00:00Z,291250,291250,291250,291250
2009-02-28T00:00:00Z,296200,296200,296200,296200
2009-03-01T00:00:00Z,301450,301450,301450,301450
2009-03-02T00:00:00Z,306850,306850,306850,306850
2009-03-03T00:00:00Z,312100,312100,312100,312100
2009-03-04T00:00:00Z,317300,317300,317300,317300
2009-03-05T00:00:00Z,322900,322900,322900,322900
2009-03-06T00:00:00Z,328750,328750,328750,328750
2009-03-07T00:00:00Z,334200,334200,334200,334200
2009-03-08T00:00:00Z,339950,339950,339950,339950
2009-03-09T00:00:00Z,345350,345350,345350,345350
2009-03-10T00:00:00Z,350700,350700,350700,350700
2009-03-11T00:00:00Z,356400,356400,356400,356400
2009-03-12T00:00:00Z,362300,362300,362300,362300
2009-03-13T00:00:00Z,367950,367950,367950,367950
2009-03-14T00:00:00Z,373450,373450,373450,373450
2009-03-15T00:00:00Z,379600,379600,379600,379600
2009-03-16T00:00:00Z,385650,385650,385650,385650
2009-03-17T00:00:00Z,391350,391350,391350,391350
2009-03-18T00:00:00Z,397050,397050,397050,397050
2009-03-19T00:00:00Z,403150,403150,403150,403150
2009-03-20T00:00:00Z,409050,409050,409050,409050
2009-03-21T00:00:00Z,411550,411550,411550,411550
2009-03-22T00:00:00Z,417500,417500,417500,417500
2009-03-23T00:00:00Z,424000,424000,424000,424000
2009-03-24T00:00:00Z,429250,429250,429250,429250
2009-03-25T00:00:00Z,435100,435100,435100,435100
2009-03-26T00:00:00Z,440950,440950,440950,440950
2009-03-27T00:00:00Z,446250,446250,446250,446250
2009-03-28T00:00:00Z,452200,452200,452200,452200
2009-03-29T00:00:00Z,458000,458000,458000,458000
2009-03-30T00:00:00Z,464000,464000,464000,464000
2009-03-31T00:00:00Z,469500,469500,469500,469500
2009-04-01T00:00:00Z,475200,475200,475200,475200
2009-04-02T00:00:00Z,480950,480950,480950,480950
2009-04-03T00:00:00Z,486750,486750,486750,486750
2009-04-04T00:00:00Z,492400,492400,492400,492400
2009-04-05T00:00:00Z,498900,498900,498900,498900
2009-04-06T00:00:00Z,504350,504350,504350,504350
2009-04-07T00:00:00Z,509350,509350,509350,509350
2009-04-08T00:00:00Z,514600,514600,514600,514600
2009-04-09T00:00:00Z,519550,519550,519550,519550
2009-04-10T00:00:00Z,524950,524950,524950,524950
2009-04-11T00:00:00Z,530950,530950,530950,530950
2009-04-12T00:00:00Z,536850,536850,536850,536850
2009-04-13T00:00:00Z,542600,542600,542600,542600
2009-04-14T00:00:00Z,548800,548800,548800,548800
2009-04-15T00:00:00Z,554450,554450,554450,554450
2009-04-16T00:00:00Z,560600,560600,560600,560600
2009-04-17T00:00:00Z,566200,566200,566200,566200
2009-04-18T00:00:00Z,572500,572500,572500,572500
2009-04-19T00:00:00Z,578450,578450,578450,578450
2009-04-20T00:00:00Z,584400,584400,584400,584400
2009-04-21T00:00:00Z,590550,590550,590550,590550
2009-04-22T00:00:00Z,596600,596600,596600,596600
2009-04-23T00:00:00Z,600350,600350,600350,600350
2009-04-24T00:00:00Z,606100,606100,606100,606100
2009-04-25T00:00:00Z,612000,612000,612000,612000
2009-04-26T00:00:00Z,617600,617600,617600,617600
2009-04-27T00:00:00Z,622800,622800,622800,622800
2009-04-28T00:00:00Z,628650,628650,628650,628650
2009-04-29T00:00:00Z,635050,635050,635050,635050
2009-04-30T00:00:00Z,641600,641600,641600,641600
2009-05-01T00:00:00Z,647650,647650,647650,647650
2009-05-02T00:00:00Z,653950,653950,653950,653950
2009-05-03T00:00:00Z,659250,659250,659250,659250
2009-05-04T00:00:00Z,665650,665650,665650,665650
2009-05-05T00:00:00Z,672400,672400,672400,672400
2009-05-06T00:00:00Z,679150,679150,679150,679150
2009-05-07T00:00:00Z,685200,685200,685200,685200
2009-05-08T00:00:00Z,690600,690600,690600,690600
2009-05-09T00:00:00Z,694500,694500,694500,694500
2009-05-10T00:00:00Z,698750,698750,698750,698750
2009-05-11T00:00:00Z,704750,704750,704750,704750
2009-05-12T00:00:00Z,711250,711250,711250,711250
2009-05-13T00:00:00Z,716800,716800,716800,716800
2009-05-14T00:00:00Z,723750,723750,723750,723750
2009-05-15T00:00:00Z,730550,730550,730550,730550
2009-05-16T00:00:00Z,736500,736500,736500,736500
2009-05-17T00:00:00Z,742850,742850,742850,742850
2009-05-18T00:00:00Z,748750,748750,748750,748750
2009-05-19T00:00:00Z,753050,753050,753050,753050
2009-05-20T00:00:00Z,759050,759050,759050,759050
2009-05-21T00:00:00Z,763150,763150,763150,763150
2009-05-22T00:00:00Z,766200,766200,766200,766200
2009-05-23T00:00:00Z,767800,767800,767800,767800
2009-05-24T00:00:00Z,772800,772800,772800,772800
2009-05-25T00:00:00Z,778250,778250,778250,778250
2009-05-26T00:00:00Z,784500,784500,784500,784500
2009-05-27T00:00:00Z,790450,790450,790450,790450
2009-05-28T00:00:00Z,795200,795200,795200,795200
2009-05-29T00:00:00Z,800500,800500,800500,800500
2009-05-30T00:00:00Z,805950,805950,805950,805950
2009-05-31T00:00:00Z,810750,810750,810750,810750
2009-06-01T00:00:00Z,814300,814300,814300,814300
2009-06-02T00:00:00Z,819850,819850,819850,819850
2009-06-03T00:00:00Z,823400,823400,823400,823400
